content_type,text
no-understand,I'm sorry I did not get that...
no-understand,I think my brain just hiccupped could you repeat that?
no-understand,Wait what? My mind went on a mini adventure there—could you explain again?
no-understand,Whoops I didn’t quite catch that could you say it a little slower?
no-understand,Oh I missed what you've just said.
no-understand,Oh no I'm a bit fuzzy on that one can you clarify?
no,understand,Could you repeat it for me please? My brain was on a coffee break!
no-understand,My ears were on a different galaxy can you ask me again?
no-understand,Oops I didn't quite catch that!
no-understand,My apologies I did not understand!
