content_type,text
riddle,What has to be broken before you can use it?
riddle,I’m tall when I’m young; and I’m short when I’m old. What am I?
riddle,What has a neck but no head?
riddle,What can you catch but not throw?
riddle,What gets wetter the more it dries?
riddle,The more you take; the more you leave behind. What am I?
riddle,What has hands but can’t clap?
riddle,What has a head; a tail; but no body?
riddle,What has many keys but can’t open a single lock?
riddle,What has one eye but can’t see?
riddle,hat comes down but never goes up?
riddle,What has cities; but no houses; forests; but no trees; rivers; but no water?
riddle,What can travel around the world while staying in the same spot?
riddle,What has an end but no beginning; a home but no body; and a bed but never sleeps?
riddle,The more of this you take; the more you leave behind. What is it?
riddle,Forward I am heavy; but backward I’m not. What am I?
riddle,What runs but never walks; has a bed but never sleeps; and has a mouth but never talks?
riddle,What begins with T; ends with T; and has T in it?
riddle,What has four wheels and flies?
riddle,What has lots of eyes but can’t see?
riddle,What has legs but doesn’t walk?
riddle,What comes once in a minute; twice in a moment; but never in a thousand years?
riddle,What goes up but never comes down?
riddle,What has teeth but cannot bite?
riddle,What is always in front of you but can’t be seen?
riddle,I’m light as a feather; yet the strongest man can’t hold me for long. What am I?
riddle,The more you take away; the bigger I get. What am I?
riddle,What has roots as nobody sees; is taller than trees; up; up it goes; and yet it never grows?
riddle,The person who makes it sells it. The person who buys it never uses it. The person who uses it never knows they’re using it. What is it?
riddle,What can fill a room but takes up no space?
riddle,What has a heart that doesn’t beat?
riddle,What has a face and two hands but no arms or legs?
riddle,What five-letter word becomes shorter when you add two letters to it?
riddle,What begins with an “e” and only contains one letter?
riddle,What is black when it’s clean and white when it’s dirty?
riddle,I have a head; a tail; but no body. What am I?
riddle,What can you hold in your left hand but not in your right?
riddle,I’m always on the dinner table; but you don’t get to eat me. What am I?
riddle,The more you take; the more you leave behind. What am I?
riddle,What can’t talk but will reply when spoken to?
riddle,The more of it you take; the more you leave behind. What is it?
riddle,I’m not alive; but I can grow. I don’t have lungs; but I need air. What am I?
riddle,The man who invented it doesn’t want it. The man who bought it doesn’t need it. The man who needs it doesn’t know it. What is it?
riddle,What runs but never walks; has a bed but never sleeps?
riddle,What is so fragile that saying its name breaks it?
riddle,What begins and has no end; and keeps turning but never stops?
riddle,What can go up a chimney down but can’t go down a chimney up?
riddle,I shave every day; but my beard stays the same. What am I?
riddle,What has one head; one foot; and four legs?
riddle,What comes at night without being called and is lost in the day without being stolen?
riddle,What has many needles but doesn’t sew?
riddle,I speak without a mouth and hear without ears. I have no body; but I come alive with the wind. What am I?
riddle,I’m found in the sky but also in the sea. What am I?
riddle,What can run but never walks?
riddle,What can you hold in your hand that can also hold water?
riddle,What belongs to you but is used more by others?
riddle,What has stripes and runs but never moves?
riddle,I’m often given but always kept. What am I?
riddle,I am full of holes; but I can still hold water. What am I?
riddle,I have keys but no locks. I have space but no room. You can enter; but you can’t go outside. What am I?
riddle,What starts with “P” and ends with “E” and has thousands of letters in it?
riddle,What comes once in a year; twice in a week; but never in a day?
riddle,I’m always running; but I never move from my spot. What am I?
riddle,I have no life; but I can die. What am I?
riddle,What has feet but no legs?
riddle,What can you throw but never catch?
riddle,What has words but never speaks?
riddle,I’m white; perfect for cutting and grinding. For most animals; I’m a useful tool. What am I?
riddle,What flies without wings?
riddle,What can be cracked; made; told; and played?
riddle,What has no beginning; end; or middle?
riddle,What kind of coat is best put on wet?
riddle,The more you take out of me; the bigger I get. What am I?
riddle,What can you break without touching it?
riddle,What starts off dry but gets wet as it works?
riddle,What has ears but doesn’t listen?
riddle,What is so light that even the strongest wind can carry it?
riddle,What has words; pages; and no voice?
riddle,What’s full of holes but still holds water?
riddle,What has an eye but never blinks?
riddle,What has a tongue but cannot talk?
riddle,What starts with “T” ends with “T” and is full of “T”?
riddle,I am not alive; but I can grow; I don’t have lungs; but I need air. What am I?
riddle,What is invisible but can be felt?
riddle,What can you keep after giving to someone?
riddle,What starts with “E” ends with “E;” but only has one letter in it?
riddle,What is something that is yours; but everyone uses?
riddle,I fly without wings; I cry without eyes. Wherever I go; darkness flies. What am I?
riddle,I’m light as a feather; yet the world’s strongest person can’t hold me for more than a few minutes. What am I?
riddle,What has no body; but a mind?
riddle,What has a ring but no finger?
riddle,What gets sharper the more you use it?
riddle,I disappear every time you say my name. What am I?
riddle,The more you feed me; the smaller I get. What am I?
riddle,What has four fingers and a thumb but isn’t alive?
riddle,What do you throw out when you want to use it but bring in when you don’t?
riddle,What is always moving but never arrives?
riddle,What is something you always overlook?
riddle,What can you hold without using your hands?
riddle,What grows the more you take away?
