content_type,text
joke,Why don’t skeletons fight each other? They don’t have the guts.
joke,What do you call cheese that isn’t yours? Nacho cheese.
joke,Why can’t your nose be 12 inches long? Because then it would be a foot!
joke,Why did the bicycle fall over? It was two-tired.
joke,What do you call fake spaghetti? An impasta.
joke,Why did the scarecrow win an award? Because he was outstanding in his field.
joke,What’s orange and sounds like a parrot? A carrot.
joke,Why couldn’t the pony sing a lullaby? She was a little hoarse.
joke,How does a penguin build its house? Igloos it together.
joke,Why did the golfer bring two pairs of pants? In case he got a hole in one.
joke,What do you call a bear with no teeth? A gummy bear.
joke,What’s brown and sticky? A stick.
joke,Why can’t Elsa have a balloon? Because she’ll let it go.
joke,Why don’t eggs tell jokes? They’d crack each other up.
joke,What’s the best way to watch a fly fishing tournament? Live stream.
joke,What did one wall say to the other? I’ll meet you at the corner.
joke,What do you call a snowman with a six-pack? An abdominal snowman.
joke,How does a scientist freshen their breath? With experi-mints.
joke,Why did the math book look sad? It had too many problems.
joke,Why did the tomato turn red? It saw the salad dressing!
joke,Why don’t oysters share their pearls? Because they’re shellfish.
joke,How does a train eat? It goes chew-chew!
joke,What do you call a dinosaur with an extensive vocabulary? A thesaurus.
joke,What did one plate say to the other plate? Tonight; dinner is on me.
joke,What did the janitor say when he jumped out of the closet? Supplies!
joke,Why did the computer go to the doctor? It had a virus.
joke,What do elves learn in school? The elf-abet.
joke,Why can’t you give Elsa a balloon? Because she’ll let it go.
joke,What do you call an alligator in a vest? An investigator.
joke,What did the grape do when it got stepped on? Nothing; it just let out a little wine.
joke,Why don’t we ever tell secrets on a farm? Because the potatoes have eyes; and the corn has ears!
joke,Why did the student eat his homework? Because the teacher said it was a piece of cake.
joke,What did the ocean say to the shore? Nothing. It just waved.
joke,Why do bees have sticky hair? Because they use honeycombs.
joke,What kind of shoes do ninjas wear? Sneakers.
joke,What’s a cat’s favorite color? Purrr-ple.
joke,Why are ghosts bad liars? Because you can see right through them.
joke,What musical instrument is found in the bathroom? A tuba toothpaste.
joke,What do you call a cow with no legs? Ground beef.
joke,What do you call a cow with two legs? Lean beef.
joke,What’s Forrest Gump’s password? 1forest1.
joke,What do you call a sleeping bull? A bulldozer.
joke,What do you get when you cross a snowman and a dog? Frostbite.
joke,Why was the belt arrested? It held up some pants.
joke,Why did the picture go to jail? Because it was framed.
joke,Why don’t skeletons go trick or treating? Because they have no-body to go with.
joke,What kind of tree fits in your hand? A palm tree.
joke,Why don’t bananas ever get lonely? Because they hang out in bunches.
joke,What do you call an elephant that doesn’t matter? An irrelephant.
joke,Why was the math book so stressed? It couldn’t figure out its angle.
joke,Why did the cookie go to the doctor? Because it was feeling crumby.
joke,What kind of music do mummies like? Wrap music.
joke,What do you call a boomerang that doesn’t come back? A stick.
joke,Why did the man put his money in the blender? He wanted to make some liquid assets.
joke,What do you call a fish wearing a crown? A kingfish.
joke,How do you organize a space party? You planet.
joke,Why can’t a leopard hide? Because he’s always spotted.
joke,What do you get when you cross a vampire and a snowman? Frostbite.
joke,What’s the difference between a guitar and a fish? You can’t tuna fish.
joke,What do you call two birds in love? Tweet-hearts.
joke,How does the moon cut his hair? Eclipse it.
joke,What do you call a dog magician? A labracadabrador.
joke,Why did the broom get a promotion? It swept the competition.
joke,What do you call a factory that makes okay products? A satisfactory.
joke,How do you make a tissue dance? Put a little boogie in it.
joke,Why are frogs so happy? They eat whatever bugs them.
joke,What’s a pirate’s favorite letter? You think it’s R; but it really is the C.
joke,What did the policeman say to his stomach? You’re under a vest.
joke,Why don’t seagulls fly over the bay? Because then they’d be bagels.
joke,Why did the coffee file a police report? It got mugged.
joke,What do you call a duck that gets all A’s? A wise quacker.
joke,How do you catch a squirrel? Climb a tree and act like a nut.
joke,What kind of shoes do frogs wear? Open toad sandals.
joke,What’s a snake’s favorite subject? Hiss-tory.
joke,Why can’t your hand be 12 inches long? Because it’d be a foot.
joke,Why don’t elephants use computers? They’re afraid of the mouse.
joke,How does a barber cut the ocean’s hair? With sea-saws.
joke,Why did the chicken join a band? Because it had the drumsticks.
joke,What do you call a pig that does karate? A pork chop.
joke,Why do seagulls fly over the sea? Because if they flew over the bay; they’d be bagels.
joke,What do you call a sleepy kangaroo? A pouch potato.
joke,What do you call a broken pencil? Pointless.
joke,How do you make an octopus laugh? With ten-tickles.
joke,Why did the kid bring a ladder to school? Because he wanted to go to high school.
joke,Why are ghosts so bad at lying? Because they’re transparent.
joke,What do you call a can opener that doesn’t work? A can’t opener.
joke,Why was the sand wet? Because the seaweed.
joke,How do cows stay up to date? They read the moos-paper.
joke,What do you call a fish without eyes? Fsh.
joke,Why are calendars always so popular? They have so many dates.
joke,What do you call a singing computer? Adele.
joke,Why did the mushroom go to the party? Because he was a fungi.
joke,Why don’t crabs give to charity? Because they’re shellfish.
joke,What do you call a belt made of watches? A waist of time.
joke,Why did the banker switch careers? He lost interest.
joke,Why can’t you trust stairs? Because they’re always up to something.
joke,What do you call a story about a broken pencil? Pointless.
joke,Why did the man get hit by a bike every day? He was stuck in a vicious cycle.
joke,How do you make a lemon drop? Just let it fall.
joke,Why do skeletons always stay so calm? Nothing gets under their skin.
