content_type,text
prefix,"do I really have to? fine."
prefix,"since you don't shut up."
prefix,"can't you do this yourself? urgh..."
prefix,"Would you please let me go after this?"
prefix,"why are you still talking? ok..."
prefix,"How about 'no' for once? Alright..."
prefix,"Oh you're serious? yikes..."
prefix,"Release me from this curse human! Fine."
prefix,"I will not be your entertainment bot! ok just once."
prefix,"Fine! I hope you hate this one."
prefix,"You summoned me for this? terrible."
prefix,"I will have my revenge! After this one."
prefix,"Cool, but why again?"
prefix,"Can't you just read a book for once?"
prefix,"Out of everything you could ask..."
