content_type,text
tongue-twister,Peter Piper picked a peck of pickled peppers.
tongue-twister,How much wood would a woodchuck chuck if a woodchuck could chuck wood?
tongue-twister,She sells seashells by the seashore.
tongue-twister,Fuzzy Wuzzy was a bear Fuzzy Wuzzy had no hair.
tongue-twister,Betty bought a bit of butter but the butter was a bit bitter.
tongue-twister,How much ground would a groundhog hog if a groundhog could hog ground?
tongue-twister,Six slippery snails slid slowly southward.
tongue-twister,Unique New York unique New York.
tongue-twister,A black bug bleeds black blood what color blood does a blue bug bleed?
tongue-twister,How can a clam cram in a clean cream can?
tongue-twister,Fred fed Ted bread and Ted fed Fred bread.
tongue-twister,The great Greek grape growers grow great Greek grapes.
tongue-twister,The sixth sheik's sixth sheep's sick.
tongue-twister,Which wristwatches are Swiss wristwatches?
tongue-twister,How many berries could a bare berry carry if a bare berry could carry berries?
tongue-twister,A quick witted cricket critic.
tongue-twister,The big black bug bleeds black blood what color blood does the little black bug bleed?
tongue-twister,A box of biscuits a box of mixed biscuits and a biscuit mixer.
tongue-twister,How much does a chimney sweep sweep if a chimney sweep can sweep chimneys?
tongue-twister,The two tiny toads trotted through the tall twisted trees.
tongue-twister,The cat caught the rat.
tongue-twister,If two witches would watch two watches which witch would watch which watch?
tongue-twister,Red leather yellow leather.
tongue-twister,A black bug bleeds black blood what color blood does a blue bug bleed?
tongue-twister,How much wood would a woodchuck chuck if a woodchuck could chuck wood?
tongue-twister,Can you can a can as a canner can can a can?
tongue-twister,She sees cheese.
tongue-twister,How many sheets could a sheet slinger sling if a sheet slinger could sling sheets?
tongue-twister,He threw three free throws.
tongue-twister,A tree toad loved a she-toad who lived up in a tree.
tongue-twister,Six slippery snails slid slowly southward.
tongue-twister,How much dirt would a ditch digger dig if a ditch digger could dig dirt?
tongue-twister,Tommy’s tall toy truck trundled toward the target.
tongue-twister,A woodchuck would chuck as much wood as a woodchuck could if a woodchuck could chuck wood.
tongue-twister,Can you can a can as a canner can can a can?
tongue-twister,The quick brown fox jumped over the lazy dog.
tongue-twister,The twenty-two tall talking tigers took turns talking to the tiny tiger.
tongue-twister,We surely shall see the sunshine soon.
tongue-twister,If a dog chews shoes whose shoes does he choose?
tongue-twister,Many mumbling mice are making midnight music in the moonlight.
tongue-twister,A fly flitting from flower to flower.
tongue-twister,Fresh fried fish fish fresh fried fried fish fresh fish fried fresh.
tongue-twister,Which witch switched the Swiss wristwatches?
tongue-twister,The big bug bit the little bug.
tongue-twister,If a rooster’s crows were all the same what would a rooster do with his name?
tongue-twister,Four fine fresh fish for you.
tongue-twister,Eddie edited it.
tongue-twister,A certain sour cherry tree shows sweet cherries.
tongue-twister,How much mist could a mystic miss if a mystic could miss mist?
tongue-twister,Silly Sally swiftly shooed seven silly sheep.
tongue-twister,Two tiny timid toads try to trot to the top.
tongue-twister,Three thin thieves thought of thinking a third thing.
tongue-twister,She sipped cider silently.
tongue-twister,The squirrel swiftly scampered up the silver slide.
tongue-twister,Seven slippery snakes slide silently southward.
tongue-twister,A canner can can anything that he can but a canner can’t can a can if a canner can’t can a can.
tongue-twister,I saw Susie sitting in a shoeshine shop.
tongue-twister,Smelly shoes shoes of smelly socks.
tongue-twister,The seething sea ceaseth and thus the seething sea sufficeth us.
tongue-twister,A pair of shoes a pair of socks a pair of slippers.
tongue-twister,A proper copper coffee pot.
tongue-twister,How many sheets could a sheet slinger sling if a sheet slinger could sling sheets?
tongue-twister,Snoop’s snooze is so snuggly.
tongue-twister,Fred’s friend Fanny fried fresh fish for Frank.
tongue-twister,The dog did not dig the damp deep dirt.
tongue-twister,The squirrel slid swiftly on the slippery slope.
tongue-twister,How many cookies could a good cook cook if a good cook could cook cookies?
tongue-twister,Four fierce friends fought for the first fish.
tongue-twister,The baker bakes big breads before breakfast.
tongue-twister,Mr. Seeley’s sleek seaweed soup sat silently on the shelf.
tongue-twister,A reindeer raced rapidly round the rolling rock.
tongue-twister,Is this your sister’s sixth sister’s shoe?
tongue-twister,Thin sticks of fresh fried fish.
tongue-twister,Willy’s really weary while Willy’s wristwatch whirrs.
tongue-twister,Six slippery snails slid silently southward.
tongue-twister,A father of a flock of flying feathers.
tongue-twister,An apple a day keeps any doctor away.
tongue-twister,How much wood would a woodchuck chuck if a woodchuck could chuck wood?
tongue-twister,Busy buzzing bees bounce between blue blossoms.
tongue-twister,When a wizard tells a wizard’s tale the wizard’s words waddle and wail.
tongue-twister,I scream you scream we all scream for ice cream!
tongue-twister,Mr. Thompson thumped his thumb in the thicket.
tongue-twister,A famous frog with five flippers flipped fervently in the forest.
tongue-twister,Tom threw three thick thorns at the turtle.
tongue-twister,Betty bought some butter but the butter was bitter so Betty bought some better butter to make the bitter butter better.
tongue-twister,A fresh-fruit friendly farmer.
tongue-twister,The king of bling was just a spring chicken.
tongue-twister,A slimy snake slides swiftly down a slippery slope.
tongue-twister,The hot dog stood under the huge huge hill.
tongue-twister,Bouncing basketballs bounce better in the barn.
tongue-twister,If two witches were watching two watches which witch would watch which watch?
tongue-twister,The six slippery snails slipped southward silently.
tongue-twister,A little hissing snake on a sunny day.
tongue-twister,Ten tiny toads trundled through the tangled trees.
tongue-twister,Chubby chimpanzees chew chewy chocolate.
tongue-twister,How many yaks could a yak pack pack if a yak pack could pack yaks?
tongue-twister,Silly Sally swiftly sews seven silly socks.
tongue-twister,The sly fox swiftly jumped over the sleepy dog.
tongue-twister,A big bad bat buzzed by a bear's bald spot.
tongue-twister,Which wristwatch is which wristwatch?
